PLZ4	KTKZ	GDENR	GDENAMK
1219	GE	6643	Vernier
1220	GE	6643	Vernier
1226	GE	6640	Thônex
1228	GE	6633	Plan-les-Ouates
1231	GE	6612	Chêne-Bougeries
1232	GE	6618	Confignon
1233	GE	6607	Bernex
1237	GE	6603	Avully
1243	GE	6635	Presinge
1244	GE	6614	Choulex
1245	GE	6616	Collonge-Bellerive
1246	GE	6619	Corsier (GE)
1247	GE	6602	Anières
1248	GE	6625	Hermance
1252	GE	6629	Meinier
1254	GE	6626	Jussy
1255	GE	6645	Veyrier
1256	GE	6641	Troinex
1257	GE	6605	Bardonnex
1258	GE	6632	Perly-Certoux
1260	VD	5724	Nyon
1262	VD	5716	Eysins
1263	VD	5714	Crassier
1264	VD	5727	Saint-Cergue
1265	VD	5727	Saint-Cergue
1266	VD	5715	Duillier
1269	VD	5703	Bassins
1270	VD	5730	Trélex
1271	VD	5720	Givrins
1272	VD	5718	Genolier
1273	VD	5702	Arzier
1275	VD	5709	Chéserex
1276	VD	5719	Gingins
1278	VD	5726	La Rippe
1281	GE	6637	Russin
1283	GE	6620	Dardagny
1284	GE	6611	Chancy
1286	GE	6639	Soral
1287	GE	6627	Laconnex
1288	GE	6601	Aire-la-Ville
1291	VD	5711	Commugny
1292	GE	6634	Pregny-Chambésy
1293	GE	6606	Bellevue
1294	GE	6622	Genthod
1296	VD	5712	Coppet
1297	VD	5717	Founex
1298	GE	6610	Céligny
1299	VD	5713	Crans-près-Céligny
1302	VD	5503	Vufflens-la-Ville
1303	VD	5496	Penthaz
1305	VD	5495	Penthalaz
1306	VD	5480	Daillens
1307	VD	5487	Lussery-Villars
1308	VD	5474	La Chaux (Cossonay)
1312	VD	5482	Eclépens
1313	VD	5483	Ferreyres
1315	VD	5498	La Sarraz
1316	VD	5476	Chevilly
1317	VD	5493	Orny
1318	VD	5497	Pompaples
1321	VD	5743	Arnex-sur-Orbe
1322	VD	5752	Croy
1323	VD	5761	Romainmôtier-Envy
1324	VD	5759	Premier
1325	VD	5765	Vaulion
1326	VD	5754	Juriens
1329	VD	5748	Bretonnières
1337	VD	5764	Vallorbe
1338	VD	5744	Ballaigues
1341	VD	5872	Le Chenit
1342	VD	5871	L'Abbaye
1343	VD	5873	Le Lieu
1344	VD	5871	L'Abbaye
1345	VD	5873	Le Lieu
1346	VD	5871	L'Abbaye
1347	VD	5872	Le Chenit
1348	VD	5872	Le Chenit
1350	VD	5757	Orbe
1352	VD	5742	Agiez
1353	VD	5747	Bofflens
1354	VD	5756	Montcherand
1356	VD	5750	Les Clées
1357	VD	5755	Lignerolle
1358	VD	5763	Valeyres-sous-Rances
1372	VD	5746	Bavois
1373	VD	5749	Chavornay
1374	VD	5751	Corcelles-sur-Chavornay
1375	VD	5531	Penthéréaz
1376	VD	5519	Goumoëns
1377	VD	5529	Oulens-sous-Echallens
1405	VD	5926	Pomy
1406	VD	5910	Cronay
1408	VD	5913	Donneloye
1409	VD	5906	Chanéaz
1413	VD	5925	Orzens
1416	VD	5530	Pailly
1417	VD	5520	Essertines-sur-Yverdon
1418	VD	5539	Vuarrens
1420	VD	5556	Fiez
1422	VD	5561	Grandson
1423	VD	5558	Tévenon
1425	VD	5565	Onnens (VD)
1427	VD	5551	Bonvillars
1429	VD	5559	Giez
1430	VD	5924	Orges
1433	VD	5929	Suchy
1434	VD	5914	Ependes (VD)
1435	VD	5915	Essert-Pittet
1437	VD	5930	Suscévaz
1438	VD	5919	Mathod
1439	VD	5760	Rances
1441	VD	5933	Valeyres-sous-Montagny
1442	VD	5922	Montagny-près-Yverdon
1443	VD	5905	Champvent
1445	VD	5766	Vuiteboeuf
1446	VD	5745	Baulmes
1450	VD	5568	Sainte-Croix
1452	VD	5552	Bullet
1454	VD	5568	Sainte-Croix
1462	VD	5939	Yvonand
1463	VD	5928	Rovray
1468	FR	2010	Cheyres
1474	FR	2005	Châbles
1475	FR	2052	Vernay
1482	FR	2011	Cugy (FR)
1484	FR	2050	Les Montets
1485	FR	2035	Nuvilly
1486	FR	2049	Vuissens
1489	FR	2034	Murist
1509	VD	5692	Vucherens
1512	VD	5665	Chavannes-sur-Moudon
1514	VD	5663	Bussy-sur-Moudon
1521	VD	5669	Curtilles
1522	VD	5675	Lucens
1523	VD	5831	Valbroye
1524	VD	5831	Valbroye
1527	FR	2047	Villeneuve (FR)
1528	FR	2044	Surpierre
1529	FR	2009	Cheiry
1530	VD	5822	Payerne
1532	FR	2016	Fétigny
1533	FR	2027	Ménières
1535	VD	5831	Valbroye
1536	VD	5831	Valbroye
1537	VD	5812	Champtauroz
1538	VD	5828	Treytorrens (Payerne)
1542	FR	2039	Rueyres-les-Prés
1543	VD	5817	Grandcour
1544	FR	2022	Gletterens
1545	VD	5813	Chevroux
1551	VD	5822	Payerne
1552	VD	5827	Trey
1553	FR	2068	Châtonnaye
1554	VD	5830	Villarzel
1555	VD	5830	Villarzel
1562	VD	5816	Corcelles-près-Payerne
1563	FR	2014	Dompierre (FR)
1564	FR	2013	Domdidier
1566	FR	2041	Saint-Aubin (FR)
1567	FR	2051	Delley-Portalban
1568	FR	2051	Delley-Portalban
1580	VD	5451	Avenches
1582	VD	5451	Avenches
1583	FR	2279	Villarepos
1584	VD	5463	Vully-les-Lacs
1585	VD	5463	Vully-les-Lacs
1586	VD	5463	Vully-les-Lacs
1587	VD	5463	Vully-les-Lacs
1588	VD	5456	Cudrefin
1589	VD	5463	Vully-les-Lacs
1607	VD	5805	Oron
1609	FR	2335	Saint-Martin (FR)
1610	VD	5805	Oron
1611	FR	2338	La Verrerie
1612	VD	5805	Oron
1613	VD	5790	Maracon
1614	FR	2328	Granges (Veveyse)
1615	FR	2323	Bossonnens
1616	FR	2321	Attalens
1618	FR	2325	Châtel-Saint-Denis
1619	FR	2325	Châtel-Saint-Denis
1623	FR	2336	Semsales
1624	FR	2338	La Verrerie
1625	FR	2152	Sâles
1626	FR	2152	Sâles
1627	FR	2155	Vaulruz
1628	FR	2160	Vuadens
1630	FR	2125	Bulle
1632	FR	2148	Riaz
1633	FR	2140	Marsens
1634	FR	2149	La Roche
1635	FR	2125	Bulle
1636	FR	2124	Broc
1637	FR	2127	Charmey
1638	FR	2143	Morlon
1642	FR	2153	Sorens
1643	FR	2122	Pont-en-Ogoz
1644	FR	2122	Pont-en-Ogoz
1645	FR	2122	Pont-en-Ogoz
1646	FR	2131	Echarlens
1647	FR	2129	Corbières
1648	FR	2137	Hauteville
1649	FR	2147	Pont-la-Ville
1651	FR	2129	Corbières
1652	FR	2123	Botterens
1654	FR	2126	Cerniat (FR)
1656	FR	2138	Jaun
1657	BE	843	Saanen
1658	VD	5842	Rossinière
1659	VD	5843	Rougemont
1660	VD	5841	Château-d'Oex
1661	FR	2145	Le Pâquier (FR)
1663	FR	2135	Gruyères
1665	FR	2162	Bas-Intyamon
1667	FR	2162	Bas-Intyamon
1669	FR	2121	Haut-Intyamon
1670	FR	2102	Ursy
1676	FR	2099	Siviriez
1677	FR	2099	Siviriez
1678	FR	2099	Siviriez
1679	FR	2099	Siviriez
1681	FR	2063	Billens-Hennens
1684	FR	2087	Mézières (FR)
1685	FR	2113	Vuisternens-dev-Romont
1687	FR	2113	Vuisternens-dev-Romont
1688	FR	2113	Vuisternens-dev-Romont
1689	FR	2067	Le Châtelard
1691	FR	2116	La Folliaz
1692	FR	2086	Massonnens
1694	FR	2114	Villorsonnens
1695	FR	2223	Le Glèbe
1696	FR	2231	Vuisternens-en-Ogoz
1697	FR	2113	Vuisternens-dev-Romont
1699	FR	2337	Le Flon
1715	FR	2291	Alterswil
1717	FR	2304	St. Ursen
1718	FR	2301	Rechthalten
1721	FR	2272	Misery-Courtion
1725	FR	2233	Hauterive (FR)
1726	FR	2192	Farvagny
1727	FR	2184	Corpataux-Magnedens
1728	FR	2222	Rossens (FR)
1730	FR	2233	Hauterive (FR)
1731	FR	2189	Ependes (FR)
1732	FR	2171	Arconciel
1733	FR	2226	Treyvaux
1734	FR	2307	Tentlingen
1735	FR	2294	Giffers
1736	FR	2303	St. Silvester
1737	FR	2300	Plasselb
1740	FR	2211	Neyruz (FR)
1741	FR	2186	Cottens (FR)
1742	FR	2173	Autigny
1744	FR	2177	Chénens
1745	FR	2234	La Brillaz
1746	FR	2221	Prez-vers-Noréaz
1747	FR	2185	Corserey
1748	FR	2115	Torny
1749	FR	2115	Torny
1752	FR	2228	Villars-sur-Glâne
1753	FR	2208	Matran
1754	FR	2174	Avry
1756	FR	2234	La Brillaz
1757	FR	2213	Noréaz
1762	FR	2197	Givisiez
1774	FR	2029	Montagny (FR)
1775	FR	2029	Montagny (FR)
1776	FR	2029	Montagny (FR)
1785	FR	2257	Cressier (FR)
1786	FR	2280	Bas-Vully
1788	FR	2280	Bas-Vully
1789	FR	2281	Haut-Vully
1791	FR	2254	Courtepin
1792	FR	2262	Gurmels
1793	FR	2264	Jeuss
1794	FR	2277	Salvenach
1795	FR	2251	Courlevon
1796	FR	2250	Courgevaux
1797	BE	669	Münchenwiler
1801	VD	5882	Chardonne
1802	VD	5883	Corseaux
1803	VD	5882	Chardonne
1804	VD	5884	Corsier-sur-Vevey
1805	VD	5885	Jongny
1806	VD	5888	Saint-Légier-La Chiésaz
1807	VD	5881	Blonay
1808	VD	5884	Corsier-sur-Vevey
1809	VD	5884	Corsier-sur-Vevey
1814	VD	5889	La Tour-de-Peilz
1815	VD	5886	Montreux
1816	VD	5886	Montreux
1817	VD	5886	Montreux
1822	VD	5886	Montreux
1823	VD	5886	Montreux
1824	VD	5886	Montreux
1832	VD	5886	Montreux
1833	VD	5886	Montreux
1844	VD	5414	Villeneuve (VD)
1845	VD	5408	Noville
1846	VD	5403	Chessel
1847	VD	5412	Rennaz
1853	VD	5415	Yvorne
1854	VD	5407	Leysin
1856	VD	5404	Corbeyrier
1860	VD	5401	Aigle
1862	VD	5410	Ormont-Dessous
1863	VD	5410	Ormont-Dessous
1864	VD	5411	Ormont-Dessus
1865	VD	5411	Ormont-Dessus
1867	VD	5409	Ollon
1868	VS	6152	Collombey-Muraz
1869	VS	6215	Massongex
1870	VS	6153	Monthey
1872	VS	6156	Troistorrents
1873	VS	6157	Val-d'Illiez
1874	VS	6151	Champéry
1875	VS	6156	Troistorrents
1880	VD	5402	Bex
1884	VD	5409	Ollon
1885	VD	5409	Ollon
1892	VD	5406	Lavey-Morcles
1893	VS	6152	Collombey-Muraz
1895	VS	6158	Vionnaz
1896	VS	6159	Vouvry
1897	VS	6154	Port-Valais
1898	VS	6155	Saint-Gingolph
1899	VS	6158	Vionnaz
1903	VS	6211	Collonges
1905	VS	6212	Dorénaz
1906	VS	6132	Charrat
1907	VS	6141	Saxon
1908	VS	6139	Riddes
1912	VS	6135	Leytron
1913	VS	6140	Saillon
1918	VS	6139	Riddes
1921	VS	6137	Martigny-Combe
1922	VS	6218	Salvan
1923	VS	6218	Salvan
1925	VS	6214	Finhaut
1926	VS	6133	Fully
1928	VS	6137	Martigny-Combe
1929	VS	6142	Trient
1934	VS	6031	Bagnes
1936	VS	6031	Bagnes
1937	VS	6034	Orsières
1938	VS	6034	Orsières
1941	VS	6036	Vollèges
1942	VS	6036	Vollèges
1943	VS	6034	Orsières
1944	VS	6034	Orsières
1945	VS	6033	Liddes
1946	VS	6032	Bourg-Saint-Pierre
1947	VS	6031	Bagnes
1948	VS	6031	Bagnes
1955	VS	6022	Chamoson
1957	VS	6021	Ardon
1961	VS	6090	Mont-Noble
1963	VS	6025	Vétroz
1964	VS	6023	Conthey
1965	VS	6265	Savièse
1966	VS	6082	Ayent
1967	VS	6266	Sion
1968	VS	6090	Mont-Noble
1969	VS	6087	Saint-Martin (VS)
1971	VS	6263	Grimisuat
1972	VS	6082	Ayent
1973	VS	6090	Mont-Noble
1974	VS	6261	Arbaz
1975	VS	6023	Conthey
1976	VS	6023	Conthey
1977	VS	6239	Icogne
1978	VS	6240	Lens
1981	VS	6089	Vex
1983	VS	6083	Evolène
1984	VS	6083	Evolène
1985	VS	6083	Evolène
1986	VS	6083	Evolène
1987	VS	6084	Hérémence
1988	VS	6089	Vex
1991	VS	6264	Salins
1996	VS	6024	Nendaz
1997	VS	6024	Nendaz
2000	NE	6458	Neuchâtel
2012	NE	6401	Auvernier
2013	NE	6406	Colombier (NE)
2014	NE	6403	Bôle
2015	NE	6404	Boudry
2016	NE	6408	Cortaillod
2017	NE	6404	Boudry
2022	NE	6402	Bevaix
2023	NE	6410	Gorgier
2024	NE	6414	Saint-Aubin-Sauges
2025	NE	6410	Gorgier
2028	NE	6415	Vaumarcus
2034	NE	6412	Peseux
2035	NE	6407	Corcelles-Cormondrèche
2036	NE	6407	Corcelles-Cormondrèche
2042	NE	6485	Valangin
2043	NE	6471	Boudevilliers
2053	NE	6472	Cernier
2056	NE	6475	Dombresson
2057	NE	6486	Villiers
2065	NE	6484	Savagnier
2067	NE	6458	Neuchâtel
2068	NE	6454	Hauterive (NE)
2072	NE	6459	Saint-Blaise
2073	NE	6453	Enges
2074	NE	6461	La Tène
2075	NE	6461	La Tène
2087	NE	6451	Cornaux
2088	NE	6452	Cressier (NE)
2103	NE	6512	Val-de-Travers
2105	NE	6512	Val-de-Travers
2108	NE	6512	Val-de-Travers
2112	NE	6512	Val-de-Travers
2113	NE	6512	Val-de-Travers
2114	NE	6512	Val-de-Travers
2116	NE	6512	Val-de-Travers
2117	NE	6504	La Côte-aux-Fées
2123	NE	6512	Val-de-Travers
2124	NE	6512	Val-de-Travers
2126	NE	6511	Les Verrières
2127	NE	6512	Val-de-Travers
2206	NE	6480	Les Geneveys-s-Coffrane
2207	NE	6474	Coffrane
2208	NE	6481	Les Hauts-Geneveys
2300	NE	6421	La Chaux-de-Fonds
2316	NE	6437	Les Ponts-de-Martel
2318	NE	6433	Brot-Plamboz
2322	NE	6421	La Chaux-de-Fonds
2336	JU	6742	Les Bois
2338	JU	6753	Muriaux
2340	JU	6754	Le Noirmont
2350	JU	6757	Saignelégier
2354	JU	6757	Saignelégier
2360	JU	6741	Le Bémont (JU)
2362	JU	6751	Montfaucon
2363	JU	6745	Les Enfers
2364	JU	6758	Saint-Brais
2405	NE	6435	La Chaux-du-Milieu
2406	NE	6432	La Brévine
2414	NE	6434	Le Cerneux-Péquignot
2416	NE	6431	Les Brenets
2500	BE	371	Biel/Bienne
2512	BE	756	Twann-Tüscherz
2513	BE	756	Twann-Tüscherz
2515	BE	725	Prêles
2517	BE	721	Diesse
2518	BE	724	Nods
2520	BE	723	La Neuveville
2532	BE	372	Evilard
2533	BE	372	Evilard
2534	BE	438	Orvin
2535	BE	447	Vauffelin
2537	BE	447	Vauffelin
2538	BE	442	Romont (BE)
2540	SO	2546	Grenchen
2542	BE	392	Pieterlen
2543	BE	387	Lengnau (BE)
2544	SO	2543	Bettlach
2545	SO	2556	Selzach
2552	BE	744	Orpund
2553	BE	746	Safnern
2554	BE	390	Meinisberg
2555	BE	733	Brügg
2557	BE	749	Studen (BE)
2558	BE	731	Aegerten
2560	BE	743	Nidau
2562	BE	745	Port
2563	BE	739	Ipsach
2564	BE	732	Bellmund
2565	BE	738	Jens
2576	BE	497	Lüscherz
2604	BE	436	La Heutte
2605	BE	444	Sonceboz-Sombeval
2606	BE	431	Corgémont
2607	BE	433	Cortébert
2612	BE	432	Cormoret
2613	BE	448	Villeret
2615	BE	445	Sonvilier
2616	BE	441	Renan (BE)
2710	BE	713	Tavannes
2713	BE	706	Saicourt
2714	JU	6748	Les Genevez (JU)
2716	BE	710	Sornetan
2718	JU	6750	Lajoux (JU)
2722	BE	446	Tramelan
2723	BE	437	Mont-Tramelan
2733	BE	702	Pontenet
2736	BE	711	Sorvilier
2738	BE	690	Court
2742	BE	701	Perrefitte
2743	BE	692	Eschert
2744	BE	681	Belprahon
2745	BE	694	Grandval
2746	BE	691	Crémines
2748	BE	712	Souboz
2762	BE	704	Roches (BE)
2800	JU	6711	Delémont
2802	JU	6712	Develier
2803	JU	6703	Bourrignon
2806	JU	6716	Mettembert
2812	JU	6718	Movelier
2814	BL	2790	Roggenburg
2822	JU	6709	Courroux
2823	JU	6709	Courroux
2824	JU	6727	Vicques
2825	JU	6706	Courchapoix
2826	JU	6705	Corban
2828	JU	6717	Montsevelier
2829	JU	6726	Vermes
2832	JU	6720	Rebeuvelier
2842	JU	6721	Rossemaison
2843	JU	6704	Châtillon (JU)
2852	JU	6710	Courtételle
2853	JU	6707	Courfaivre
2854	JU	6701	Bassecourt
2855	JU	6714	Glovelier
2856	JU	6702	Boécourt
2857	JU	6702	Boécourt
2863	JU	6725	Undervelier
2864	JU	6723	Soulce
2873	JU	6722	Saulcy
2882	JU	6808	Clos du Doubs
2883	JU	6808	Clos du Doubs
2884	JU	6808	Clos du Doubs
2885	JU	6808	Clos du Doubs
2886	JU	6808	Clos du Doubs
2887	JU	6759	Soubey
2888	JU	6808	Clos du Doubs
2889	JU	6808	Clos du Doubs
2900	JU	6800	Porrentruy
2902	JU	6790	Fontenais
2903	JU	6790	Fontenais
2904	JU	6776	Bressaucourt
2905	JU	6785	Courtedoux
2906	JU	6809	Haute-Ajoie
2907	JU	6803	Rocourt
2908	JU	6792	Grandfontaine
2912	JU	6809	Haute-Ajoie
2914	JU	6809	Haute-Ajoie
2915	JU	6778	Bure
2916	JU	6789	Fahy
2922	JU	6783	Courchavon
2923	JU	6807	Basse-Allaine
2924	JU	6807	Basse-Allaine
2925	JU	6807	Basse-Allaine
2926	JU	6774	Boncourt
2932	JU	6781	Coeuve
2935	JU	6773	Beurnevésin
2942	JU	6771	Alle
2943	JU	6806	Vendlincourt
2944	JU	6775	Bonfol
2946	JU	6810	La Baroche
2947	JU	6810	La Baroche
2952	JU	6782	Cornol
2953	JU	6810	La Baroche
2954	JU	6810	La Baroche
3000	BE	351	Bern
3032	BE	360	Wohlen bei Bern
3034	BE	360	Wohlen bei Bern
3035	BE	312	Seedorf (BE)
3038	BE	354	Kirchlindach
3043	BE	360	Wohlen bei Bern
3044	BE	360	Wohlen bei Bern
3046	BE	307	Meikirch
3047	BE	353	Bremgarten bei Bern
3048	BE	362	Ittigen
3049	BE	360	Wohlen bei Bern
3054	BE	311	Schüpfen
3063	BE	362	Ittigen
3065	BE	352	Bolligen
3067	BE	359	Vechigen
3072	BE	363	Ostermundigen
3073	BE	356	Muri bei Bern
3074	BE	356	Muri bei Bern
3075	BE	627	Worb
3077	BE	627	Worb
3078	BE	627	Worb
3083	BE	631	Trimstein
3084	BE	355	Köniz
3086	BE	888	Wald (BE)
3087	BE	877	Niedermuhlern
3088	BE	880	Rüeggisberg
3089	BE	880	Rüeggisberg
3095	BE	355	Köniz
3096	BE	357	Oberbalm
3097	BE	355	Köniz
3098	BE	355	Köniz
3099	BE	879	Riggisberg
3110	BE	616	Münsingen
3111	BE	625	Tägertschi
3112	BE	630	Allmendingen
3113	BE	623	Rubigen
3114	BE	632	Wichtrach
3115	BE	866	Gerzensee
3122	BE	870	Kehrsatz
3123	BE	861	Belp
3124	BE	861	Belp
3125	BE	884	Toffen
3144	BE	355	Köniz
3145	BE	355	Köniz
3148	BE	854	Schwarzenburg
3150	BE	854	Schwarzenburg
3152	BE	854	Schwarzenburg
3153	BE	853	Rüschegg
3154	BE	853	Rüschegg
3155	BE	880	Rüeggisberg
3157	BE	854	Schwarzenburg
3158	BE	852	Guggisberg
3159	BE	852	Guggisberg
3172	BE	355	Köniz
3173	BE	355	Köniz
3176	BE	670	Neuenegg
3177	BE	667	Laupen
3178	FR	2295	Bösingen
3179	BE	666	Kriechenwil
3182	FR	2308	Ueberstorf
3183	BE	851	Schwarzenburg
3184	FR	2309	Wünnewil-Flamatt
3186	FR	2293	Düdingen
3203	BE	668	Mühleberg
3210	FR	2265	Kerzers
3212	FR	2262	Gurmels
3214	FR	2278	Ulmiz
3216	FR	2276	Ried bei Kerzers
3225	BE	498	Müntschemier
3226	BE	500	Treiten
3232	BE	496	Ins
3233	BE	501	Tschugg
3234	BE	502	Vinelz
3236	BE	495	Gampelen
3237	BE	491	Brüttelen
3238	BE	494	Gals
3250	BE	306	Lyss
3252	BE	755	Worben
3253	SO	2461	Schnottwil
3255	BE	310	Rapperswil (BE)
3257	BE	303	Grossaffoltern
3262	BE	303	Grossaffoltern
3263	BE	382	Büetigen
3264	BE	385	Diessbach bei Büren
3266	BE	312	Seedorf (BE)
3267	BE	312	Seedorf (BE)
3268	BE	312	Seedorf (BE)
3270	BE	301	Aarberg
3271	BE	309	Radelfingen
3273	BE	305	Kappelen
3282	BE	302	Bargen (BE)
3284	FR	2258	Fräschels
3285	FR	2259	Galmiz
3286	FR	2274	Muntelier
3292	BE	306	Lyss
3293	BE	386	Dotzigen
3295	BE	393	Rüti bei Büren
3296	BE	381	Arch
3297	BE	388	Leuzigen
3298	BE	391	Oberwil bei Büren
3302	BE	544	Moosseedorf
3306	BE	537	Etzelkofen
3307	SO	2457	Messen
3308	BE	539	Grafenried
3312	BE	538	Fraubrunnen
3313	BE	534	Büren zum Hof
3314	BE	549	Schalunen
3315	BE	533	Bätterkinden
3323	BE	403	Bäriswil
3326	BE	414	Krauchthal
3360	BE	979	Herzogenbuchsee
3362	BE	982	Niederönz
3363	BE	979	Herzogenbuchsee
3365	BE	988	Seeberg
3366	BE	973	Bettenhausen
3368	BE	324	Bleienbach
3372	BE	977	Heimenhausen
3373	BE	977	Heimenhausen
3374	BE	993	Wangenried
3375	BE	980	Inkwil
3377	BE	991	Walliswil bei Wangen
3412	BE	407	Heimiswil
3413	BE	407	Heimiswil
3416	BE	951	Affoltern im Emmental
3417	BE	956	Rüegsau
3418	BE	956	Rüegsau
3419	BE	406	Hasle bei Burgdorf
3423	BE	405	Ersigen
3426	BE	401	Aefligen
3427	BE	552	Utzenstorf
3428	BE	554	Wiler bei Utzenstorf
3434	BE	613	Landiswil
3435	BE	955	Lützelflüh
3437	BE	905	Rüderswil
3438	BE	903	Lauperswil
3452	BE	955	Lützelflüh
3453	BE	958	Trachselwald
3454	BE	957	Sumiswald
3455	BE	957	Sumiswald
3457	BE	957	Sumiswald
3462	BE	951	Affoltern im Emmental
3464	BE	959	Walterswil (BE)
3465	BE	952	Dürrenroth
3473	BE	402	Alchenstorf
3474	BE	424	Wynigen
3503	BE	612	Konolfingen
3507	BE	603	Biglen
3508	BE	602	Arni (BE)
3512	BE	626	Walkringen
3513	BE	626	Walkringen
3531	BE	620	Oberthal
3533	BE	605	Bowil
3535	BE	907	Signau
3536	BE	901	Eggiwil
3538	BE	904	Röthenbach im Emmental
3543	BE	903	Lauperswil
3551	BE	902	Langnau im Emmental
3552	BE	902	Langnau im Emmental
3553	BE	902	Langnau im Emmental
3556	BE	908	Trub
3557	BE	908	Trub
3600	BE	942	Thun
3612	BE	939	Steffisburg
3613	BE	939	Steffisburg
3614	BE	945	Unterlangenegg
3615	BE	923	Buchholterberg
3617	BE	925	Fahrni
3619	BE	924	Eriz
3622	BE	931	Homberg
3625	BE	927	Heiligenschwendi
3627	BE	928	Heimberg
3631	BE	930	Höfen
3633	BE	921	Amsoldingen
3634	BE	941	Thierachern
3635	BE	943	Uebeschi
3636	BE	948	Forst-Längenbühl
3646	BE	768	Spiez
3647	BE	767	Reutigen
3652	BE	929	Hilterfingen
3653	BE	934	Oberhofen am Thunersee
3654	BE	938	Sigriswil
3655	BE	938	Sigriswil
3656	BE	938	Sigriswil
3657	BE	938	Sigriswil
3658	BE	938	Sigriswil
3661	BE	944	Uetendorf
3662	BE	883	Seftigen
3663	BE	867	Gurzelen
3665	BE	886	Wattenwil
3672	BE	619	Oberdiessbach
3674	BE	604	Bleiken b. Oberdiessbach
3700	BE	768	Spiez
3702	BE	768	Spiez
3703	BE	562	Aeschi bei Spiez
3704	BE	566	Krattigen
3705	BE	768	Spiez
3706	BE	585	Leissigen
3707	BE	575	Därligen
3713	BE	567	Reichenbach im Kandertal
3715	BE	561	Adelboden
3716	BE	564	Kandergrund
3717	BE	564	Kandergrund
3718	BE	565	Kandersteg
3722	BE	567	Reichenbach im Kandertal
3723	BE	567	Reichenbach im Kandertal
3724	BE	563	Frutigen
3725	BE	563	Frutigen
3752	BE	769	Wimmis
3753	BE	762	Diemtigen
3754	BE	762	Diemtigen
3755	BE	762	Diemtigen
3756	BE	762	Diemtigen
3757	BE	762	Diemtigen
3758	BE	763	Erlenbach im Simmental
3762	BE	763	Erlenbach im Simmental
3763	BE	761	Därstetten
3764	BE	761	Därstetten
3765	BE	766	Oberwil im Simmental
3766	BE	791	Boltigen
3770	BE	794	Zweisimmen
3771	BE	794	Zweisimmen
3772	BE	793	St. Stephan
3773	BE	793	St. Stephan
3775	BE	792	Lenk
3776	BE	794	Zweisimmen
3777	BE	843	Saanen
3778	BE	843	Saanen
3780	BE	843	Saanen
3781	BE	843	Saanen
3782	BE	842	Lauenen
3783	BE	843	Saanen
3784	BE	841	Gsteig
3785	BE	841	Gsteig
3792	BE	843	Saanen
3801	BE	584	Lauterbrunnen
3803	BE	571	Beatenberg
3804	BE	579	Habkern
3805	BE	590	Ringgenberg (BE)
3806	BE	572	Bönigen
3807	BE	582	Iseltwald
3812	BE	594	Wilderswil
3813	BE	591	Saxeten
3814	BE	577	Gsteigwiler
3815	BE	578	Gündlischwand
3818	BE	576	Grindelwald
3822	BE	584	Lauterbrunnen
3824	BE	584	Lauterbrunnen
3825	BE	584	Lauterbrunnen
3826	BE	584	Lauterbrunnen
3852	BE	590	Ringgenberg (BE)
3853	BE	588	Niederried b. Interlaken
3854	BE	589	Oberried am Brienzersee
3856	BE	574	Brienzwiler
3857	BE	785	Meiringen
3858	BE	580	Hofstetten bei Brienz
3862	BE	784	Innertkirchen
3863	BE	781	Gadmen
3901	VS	6008	Ried-Brig
3902	VS	6002	Brig-Glis
3904	VS	6007	Naters
3905	VS	6288	Saas-Almagell
3906	VS	6290	Saas-Fee
3908	VS	6289	Saas-Balen
3910	VS	6291	Saas-Grund
3911	VS	6008	Ried-Brig
3912	VS	6010	Termen
3913	VS	6010	Termen
3914	VS	6007	Naters
3916	VS	6195	Ferden
3918	VS	6202	Wiler (Lötschen)
3919	VS	6192	Blatten
3920	VS	6300	Zermatt
3923	VS	6296	Törbel
3924	VS	6292	St. Niklaus
3925	VS	6285	Grächen
3926	VS	6283	Embd
3927	VS	6292	St. Niklaus
3928	VS	6287	Randa
3929	VS	6295	Täsch
3930	VS	6297	Visp
3931	VS	6286	Lalden
3932	VS	6298	Visperterminen
3933	VS	6294	Staldenried
3934	VS	6299	Zeneggen
3935	VS	6193	Bürchen
3937	VS	6281	Baltschieder
3938	VS	6191	Ausserberg
3939	VS	6004	Eggerberg
3940	VS	6204	Steg-Hohtenn
3943	VS	6194	Eischoll
3944	VS	6201	Unterbäch
3947	VS	6104	Ergisch
3949	VS	6204	Steg-Hohtenn
3952	VS	6110	Leuk
3955	VS	6102	Albinen
3956	VS	6117	Guttet-Feschel
3961	VS	6252	Anniviers
3965	VS	6235	Chippis
3966	VS	6232	Chalais
3967	VS	6232	Chalais
3968	VS	6250	Veyras
3970	VS	6113	Salgesch
3971	VS	6234	Chermignon
3974	VS	6242	Mollens (VS)
3975	VS	6244	Randogne
3977	VS	6248	Sierre
3978	VS	6240	Lens
3979	VS	6238	Grône
3982	VS	6173	Bitsch
3985	VS	6074	Münster-Geschinen
3986	VS	6181	Riederalp
3987	VS	6181	Riederalp
3991	VS	6171	Betten
3992	VS	6171	Betten
3993	VS	6177	Grengiols
3995	VS	6056	Ernen
3996	VS	6054	Binn
3997	VS	6052	Bellwald
3998	VS	6075	Reckingen-Gluringen
3999	VS	6076	Obergoms
4000	BS	2701	Basel
4000	BS	2701	Basel
4001	BS	2701	Basel
4002	BS	2701	Basel
4003	BS	2701	Basel
4004	BS	2701	Basel
4005	BS	2701	Basel
